wl,R7p,R8p,R7y,R8y
300,0.617995097,0.171477906,0.732155673,0.149797601
305,0.654492739,0.178249221,0.770345025,0.164515012
310,0.703395002,0.188222044,0.822979736,0.178137783
315,0.764374357,0.195202197,0.872751718,0.176402899
320,0.832649098,0.202078446,0.93332105,0.190739432
325,0.901171457,0.207851861,0.989119831,0.205321035
330,0.959018582,0.209584297,0.985708304,0.219596302
335,0.997247583,0.213625276,0.881240126,0.230843945
340,0.975752094,0.22223396,0.762924279,0.240935681
345,0.887611611,0.232836387,0.662909347,0.251597201
350,0.78158239,0.240552105,0.562711814,0.25968754
355,0.672668557,0.24480398,0.44053243,0.271254794
360,0.564331844,0.251574266,0.359614668,0.2729907
365,0.469410944,0.273514684,0.325336749,0.265001452
370,0.378529882,0.293406835,0.297398942,0.255488692
375,0.299477308,0.317761758,0.270081776,0.243663094
380,0.236581126,0.349569036,0.244052789,0.228366707
385,0.202103896,0.383791849,0.259390195,0.206245149
390,0.177435729,0.415231859,0.276173434,0.181015301
395,0.154642953,0.436436712,0.286665452,0.157173155
400,0.134446723,0.466250248,0.29474276,0.138230346
405,0.12103091,0.512387159,0.303611335,0.122791002
410,0.102133939,0.556581767,0.311714586,0.113454896
415,0.085111473,0.590856018,0.319022579,0.109725764
420,0.075013457,0.633738953,0.312234447,0.103895165
425,0.062751685,0.69667144,0.289874424,0.102949709
430,0.052509438,0.764170604,0.268092134,0.102949709
435,0.042122961,0.81539886,0.251997388,0.102949709
440,0.035775631,0.856654293,0.248529982,0.102371346
445,0.032746295,0.899327361,0.250332035,0.102949709
450,0.027408776,0.941474731,0.260048752,0.102949709
455,0.022648278,0.980263192,0.274425263,0.100676388
460,0.015002676,0.999998971,0.275591708,0.103617216
465,0.011396279,0.990761713,0.259211586,0.114157427
470,0,0.966669124,0.243409199,0.123540505
475,0,0.94115993,0.233506888,0.136292259
480,0,0.899222427,0.226573076,0.155114576
485,0,0.832510267,0.220217996,0.184971122
490,0,0.755510481,0.218055732,0.219759681
495,0,0.663918729,0.214666156,0.262183159
500,0,0.55920614,0.200044183,0.321918716
505,0,0.44934871,0.165550736,0.400133493
510,0,0.352824041,0.129722213,0.487731348
515,0,0.276558792,0.101185019,0.583897426
520,0,0.220553991,0.080762153,0.679714281
525,0,0.171005704,0.069176928,0.779218402
530,0,0.162134685,0.067692879,0.803109561
535,0,0.124711392,0.05863921,0.897588748
540,0,0.098519717,0.051497652,0.962554485
545,0,0.079256654,0.045131396,0.994524751
550,0,0.063405378,0.037630227,0.992366102
555,0,0.054324904,0.033585586,0.955399493
560,0,0.041202935,0.029540945,0.89348078
565,0,0.033487217,0.026412897,0.821103749
570,0,0.02246485,0.020873829,0.735866725
575,0,0.015064035,0.015031326,0.634555221
580,0,0,0.011628909,0.528127901
585,0,0,0,0.418350285
590,0,0,0,0.296710311
595,0,0,0,0.181941457
600,0,0,0,0.117056389
605,0,0,0,0.086571853
610,0,0,0,0.06331481
615,0,0,0,0.049039033
620,0,0,0,0.034899575
625,0,0,0,0.025128472
630,0,0,0,0.013431841
635,0,0,0,0
640,0,0,0,0
645,0,0,0,0
650,0,0,0,0
655,0,0,0,0
660,0,0,0,0
665,0,0,0,0
670,0,0,0,0
675,0,0,0,0
680,0,0,0,0
685,0,0,0,0
690,0,0,0,0
695,0,0,0,0
700,0,0,0,0
