predefinedCategories,Pattern,Unit
consigne blowers,BLR.+\.HR36,%
consigne pumps,PMP.+\.HR36,%
Courant alimentation stack,STB_STK,A
Courant armoire éléctrique,EPB,A
Courant blowers,BLR.+\.HM05,A
Courant pompes,PMP.+\.HM05,A
débits lignes air,L\d{3}_O2,Nl/min
débits lignes autres,L\d{3}_[NG],Nl/min
débits lignes Fuel,L\d{3}_FUEL,Nl/min
débits lignes H2,L\d{3}_H2_,Nl/min
débits lignes vapeur,L\d{3}_H2O,Nl/min
débits Nh,,Nl/min
pression ligne air ,O2,mbarg
pression ligne fuel,FUEL,mbarg
pression reservoir H2,TNK,mbarg
puissance bâtiment,SIS,W AC
puissance chauffant GV1a,STG_01a_HER,W AC
puissance chauffant GV1b,STG_01b_HER,W AC
"puissance chauffant GV1a,b",STG_01[ab]_HER,W AC
puissance chauffant stack,STB_STK_HER,W AC
puissance pompes AC,PMP,W AC
puissance stack,STB_STK_\d{2}\.ALIM,kW DC
puissance total,SEH0.JT,W AC
température échangeurs ,HEX,°C
température einceinte thermique ,STB_TT,°C
température lignes air,L\d{3}_O2,°C
température lignes autres,L\d{3}_[NG],°C
température lignes H2,L\d{3}_H2_,°C
température lignes vapeur,L\d{3}_H2O,°C
température réservoirs,L\d{3}_[NG],°C
température réservoirs,TNK,°C
temperatures du GV1a,STG_01a_TT,°C
temperatures du GV1b,STG_01b_TT,°C
"temperatures du GV1a,b",STG_01[ab]_TT,°C
températures lignes Fuel,L\d{3}_FUEL,°C
temperatures Stack,STB_STK,°C
temperatures Stack 1,STB_STK_01,°C
temperatures Stack 2,STB_STK_02,°C
temperatures Stack 3,STB_STK_03,°C
temperatures Stack 4,STB_STK_04,°C
vannes air ,O2,TOR
vannes blower,BLR.+\.HO00,TOR
vannes Fuel ,FUEL.+\.HO00,TOR
vannes GN,GN.+\.HO00,TOR
vannes GV,HPB_STG_.+\.HO00,TOR
vannes H2,H2_.+\.HO00,TOR
vannes pompes,PMP.+\.HO00,TOR
vannes stack,STB_STK.+\.HO00,TOR
vannes vapeur ,H2O[PR]_,TOR
